pre_seg_id,post_seg_id,ei_type,pre_struc_type,post_struc_type,pair_count,pre_region,pre_type,post_region,post_type
42718322212,33750986669,1,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,excitatory/spiny neuron with atypical tree
40377592691,4989309345,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 5,pyramidal neuron
38337378918,2745207275,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
41556054112,32443424006,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
2278661756,1710887287,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
64177688400,28745838008,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
68663831354,51005645549,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
76474461179,5464161519,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,pyramidal neuron
85531885547,40477798546,1,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
58662468265,4917456198,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,interneuron
42530568245,42022876868,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
74615622727,3780156036,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
85747206017,5450992548,1,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,pyramidal neuron
66829289257,4800503033,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,oligodendrocyte
91457452296,4011844625,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
7547856895,7445518468,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,interneuron
57628498291,38602358951,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,interneuron
57640324592,4680044210,1,axon,dendrite,1,Layer 4,pure axon fragment,Layer 5,pyramidal neuron
47360855453,29717403042,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,interneuron
2265711513,2120080725,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
2599811610,1522022884,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 2,pyramidal neuron
605037297,517709150,2,axon,dendrite,1,Layer 2,majority axon fragment,Layer 2,unclassified neuron
80479764668,62574441203,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,interneuron
5846664113,5512666172,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,interneuron
94763498930,23359833943,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
66087470071,6005303967,2,axon,dendrite,1,Layer 1,pure axon fragment,Layer 5,pyramidal neuron
92471637724,3993184140,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,pyramidal neuron
59565656752,50379978000,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
19367789228,1782855544,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
55503307412,28863682744,2,axon,dendrite,1,Layer 1,pure axon fragment,Layer 2,excitatory/spiny neuron with atypical tree
5978248872,5832867018,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 4,pyramidal neuron
29284233638,2847444326,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 3,interneuron
48103521546,30503827477,1,axon,unknown,1,Layer 4,pure axon fragment,Layer 4,astrocyte
85454938487,4808913797,2,axon,dendrite,1,Layer 6,pure axon fragment,Layer 6,pyramidal neuron
65315472015,4480113728,2,axon,dendrite,1,Layer 1,pure axon fragment,Layer 2,pyramidal neuron
48878921484,4626036197,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
50700352437,42023825870,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 3,interneuron
86213328049,4811789343,1,axon,dendrite,1,Layer 6,pure axon fragment,Layer 6,pyramidal neuron
85432612507,32982624862,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
67570625386,5178318516,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
57128340407,29615021127,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 4,pyramidal neuron
3838545531,3226822404,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
19357101416,1815035994,1,axon,dendrite,1,Layer 1,pure axon fragment,Layer 2,pyramidal neuron
94219437169,5725578457,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 6,excitatory/spiny neuron with atypical tree
54712254145,36952533816,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
1887677242,1072605926,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
14554628292,5339936130,2,axon,dendrite,1,Layer 2,majority axon fragment,Layer 3,pyramidal neuron
3195692346,2337533594,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
38192712912,28861170726,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
98735379229,28016210382,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
64887677447,29572181326,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 3,excitatory/spiny neuron with atypical tree
49591699387,32732918048,1,axon,dendrite,2,Layer 3,pure axon fragment,Layer 6,pyramidal neuron
54204534003,36037387291,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
40956550172,4738857025,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,pyramidal neuron
60825621105,6485311589,2,axon,dendrite,1,Layer 6,pure axon fragment,Layer 6,pyramidal neuron
36911782284,2222228570,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
46810748398,37101127877,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,excitatory/spiny neuron with atypical tree
37883625371,28974620445,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
3432739458,3287386454,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
3809284363,3167732034,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
23936631727,5609441675,1,axon,ais,2,Layer 6,pure axon fragment,Layer 6,pyramidal neuron
57173764832,4244262574,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
3387345700,3051579933,1,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
38426942567,38717924646,2,axon,dendrite,1,Layer 2,majority axon fragment,Layer 2,interneuron
55647011048,1857715073,1,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
41597666859,32673476510,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,interneuron
57161543365,4508204983,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
3762459698,2278312286,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
92223407129,92092509149,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,oligodendrocyte
64965281498,3736498126,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 3,pyramidal neuron
65368911851,29324898939,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 3,pyramidal neuron
63693767239,37286998616,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,interneuron
30257331699,2947986035,1,axon,dendrite,1,Layer 4,pure axon fragment,Layer 3,pyramidal neuron
40828820215,5512257591,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
47141387418,29338331862,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 4,pyramidal neuron
51004813143,42168535150,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,excitatory/spiny neuron with atypical tree
14434811619,4231691058,2,axon,dendrite,1,Layer 4,pure axon fragment,Layer 3,pyramidal neuron
59835584675,32991983239,2,axon,dendrite,1,Layer 6,pure axon fragment,Layer 6,interneuron
46462777477,2135367599,1,axon,dendrite,2,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
55967868392,1539047638,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 2,pyramidal neuron
4009085256,3965354955,2,axon,dendrite,1,Layer 5,pure axon fragment,Layer 5,unknown cell
60083758465,33953035801,2,axon,dendrite,1,Layer 5,majority axon fragment,Layer 6,pyramidal neuron
5615633172,5136427393,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 2,pyramidal neuron
72954189688,28306625160,2,axon,dendrite,1,Layer 3,pure axon fragment,Layer 3,pyramidal neuron
71747577198,2265184554,2,axon,dendrite,1,Layer 2,pure axon fragment,Layer 3,pyramidal neuron
